KOMNAVN,VALUE,REGION
Albertslund,4.1,Region Hovedstaden
Allerød,11.8,Region Hovedstaden
Ballerup,17.7,Region Hovedstaden
Brøndby,1.6,Region Hovedstaden
Egedal,18.6,Region Hovedstaden
Fredensborg,17.0,Region Hovedstaden
Frederiksberg,5.9,Region Hovedstaden
Frederikssund,11.8,Region Hovedstaden
Furesø,15.1,Region Hovedstaden
Gentofte,13.4,Region Hovedstaden
Gladsaxe,9.7,Region Hovedstaden
Glostrup,22.6,Region Hovedstaden
Gribskov,2.6,Region Hovedstaden
Halsnæs,2.7,Region Hovedstaden
Helsingør,20.2,Region Hovedstaden
Herlev,6.1,Region Hovedstaden
Hillerød,9.0,Region Hovedstaden
Hvidovre,13.0,Region Hovedstaden
Høje Taastrup,17.1,Region Hovedstaden
Hørsholm,20.4,Region Hovedstaden
København,10.6,Region Hovedstaden
Lyngby-Taarbæk,14.9,Region Hovedstaden
Rudersdal,10.6,Region Hovedstaden
Rødovre,15.4,Region Hovedstaden
Dragør,13.4,Region Hovedstaden
Tårnby,14.9,Region Hovedstaden
Ishøj,18.9,Region Hovedstaden
Vallensbæk,8.6,Region Hovedstaden
Faxe,24.8,Region Sjælland
Greve,24.3,Region Sjælland
Guldborgsund,14.0,Region Sjælland
Holbæk,16.1,Region Sjælland
Kalundborg,29.8,Region Sjælland
Køge,7.4,Region Sjælland
Lejre,14.7,Region Sjælland
Lolland,15.6,Region Sjælland
Næstved,19.4,Region Sjælland
Odsherred,16.4,Region Sjælland
Ringsted,32.0,Region Sjælland
Roskilde,13.0,Region Sjælland
Slagelse,16.3,Region Sjælland
Solrød,3.3,Region Sjælland
Sorø,23.3,Region Sjælland
Stevns,15.5,Region Sjælland
Vordingborg,25.6,Region Sjælland
Bornholm,5.9,Region Hovedstaden
Assens,18.0,Region Syddanmark
Faaborg-Midtfyn,18.9,Region Syddanmark
Kerteminde,18.4,Region Syddanmark
Langeland,16.0,Region Syddanmark
Nordfyns,9.3,Region Syddanmark
Nyborg,6.3,Region Syddanmark
Odense,14.5,Region Syddanmark
Svendborg,1.6,Region Syddanmark
Ærø,17.5,Region Syddanmark
Aabenraa,5.0,Region Syddanmark
Billund,7.7,Region Syddanmark
Esbjerg/Fanø,12.9,Region Syddanmark
Esbjerg,8.9,Region Syddanmark
Fanø,15.0,Region Syddanmark
Fredericia,19.1,Region Syddanmark
Haderslev,5.7,Region Syddanmark
Kolding,13.8,Region Syddanmark
Middelfart,16.2,Region Syddanmark
Sønderborg,13.0,Region Syddanmark
Tønder,17.9,Region Syddanmark
Varde,20.4,Region Syddanmark
Vejen,21.3,Region Syddanmark
Vejle,15.1,Region Syddanmark
Aarhus,11.7,Region Midtjylland
Favrskov,17.6,Region Midtjylland
Hedensted,22.8,Region Midtjylland
Horsens,21.5,Region Midtjylland
Norddjurs,7.0,Region Midtjylland
Odder,18.8,Region Midtjylland
Randers,16.9,Region Midtjylland
Samsø,17.1,Region Midtjylland
Silkeborg,19.7,Region Midtjylland
Skanderborg,23.9,Region Midtjylland
Syddjurs,8.8,Region Midtjylland
Herning,5.2,Region Midtjylland
Holstebro,6.6,Region Midtjylland
Ikast-Brande,13.1,Region Midtjylland
Lemvig,14.1,Region Midtjylland
Ringkøbing-Skjern,21.0,Region Midtjylland
Skive,15.5,Region Midtjylland
Struer,12.5,Region Midtjylland
Viborg,2.7,Region Midtjylland
Aalborg,0.1,Region Nordjylland
Brønderslev,12.4,Region Nordjylland
Frederikshavn,20.4,Region Nordjylland
Læsø,11.2,Region Nordjylland
Hjørring,18.0,Region Nordjylland
Jammerbugt,19.7,Region Nordjylland
Mariagerfjord,19.1,Region Nordjylland
Morsø,18.0,Region Nordjylland
Rebild,19.9,Region Nordjylland
Thisted,7.7,Region Nordjylland
Vesthimmerlands,25.6,Region Nordjylland
Region Hovedstaden,12.2,Region Hovedstaden
Region Sjælland,17.2,Region Sjælland
Region Syddanmark,13.3,Region Syddanmark
Region Midtjylland,13.5,Region Midtjylland
Region Nordjylland,16.7,Region Nordjylland
Hele landet,14.4,Hele landet
